5063it [04:12, 20.02it/s]
5063it [06:05, 13.87it/s]
5063it [04:25, 19.10it/s]
5063it [02:07, 39.57it/s]
5063it [03:53, 21.69it/s]
5063it [01:54, 44.10it/s]
5063it [01:18, 64.50it/s]
5063it [02:43, 31.02it/s]
5063it [03:15, 25.90it/s]
5063it [00:36, 138.44it/s]
5063it [06:25, 13.15it/s]]
5063it [05:24, 15.62it/s]
5063it [02:59, 28.16it/s]
5063it [03:32, 23.87it/s]
5063it [03:54, 21.60it/s]
5063it [05:09, 16.38it/s]
5063it [05:47, 14.55it/s]
5063it [03:19, 25.35it/s]]
5063it [01:26, 58.54it/s]]
5063it [00:57, 88.54it/s]]
5063it [01:37, 51.91it/s]]
5063it [00:29, 171.31it/s]
5063it [00:13, 378.53it/s]
5063it [01:07, 75.37it/s]
5063it [02:31, 33.40it/s]
5063it [05:32, 15.23it/s]
5063it [02:10, 38.91it/s]]
5063it [02:30, 33.65it/s]]
5063it [04:14, 19.91it/s]]
5063it [03:09, 26.78it/s]]
5063it [05:09, 16.35it/s]]
5063it [05:48, 14.53it/s]]
5063it [04:35, 18.38it/s]]
5063it [06:04, 13.88it/s]]
5063it [04:16, 19.71it/s]]
5063it [01:48, 46.63it/s]]
5063it [02:18, 36.47it/s]]
5063it [02:59, 28.15it/s]]
5063it [01:51, 45.48it/s]]
5063it [02:09, 38.99it/s]]
5063it [01:36, 52.72it/s]]
5063it [00:46, 108.10it/s]
5063it [01:58, 42.80it/s]]
5063it [00:19, 257.80it/s]
5063it [02:34, 32.79it/s]
5063it [09:00,  9.37it/s]]
5063it [08:18, 10.15it/s]]
5063it [03:18, 25.48it/s]]
5063it [04:02, 20.90it/s]]
5063it [04:17, 19.64it/s]]
5063it [07:44, 10.89it/s]]
5063it [08:11, 10.29it/s]]
5063it [08:18, 10.15it/s]]
5063it [05:03, 16.69it/s]]
5063it [04:57, 17.01it/s]]
55it [3:20:51, 219.11s/it]
