5063it [09:51,  8.56it/s]
5063it [13:40,  6.17it/s]
5063it [06:52, 12.29it/s]
5063it [03:24, 24.78it/s]
5063it [05:44, 14.68it/s]
5063it [02:12, 38.30it/s]
5063it [02:28, 34.09it/s]
5063it [03:14, 26.05it/s]
5063it [04:38, 18.20it/s]
5063it [00:48, 103.68it/s]
5063it [08:58,  9.40it/s]]
5063it [09:02,  9.34it/s]]
5063it [04:26, 19.00it/s]]
5063it [06:07, 13.78it/s]]
5063it [05:42, 14.78it/s]]
5063it [07:15, 11.64it/s]]
5063it [07:33, 11.16it/s]]
5063it [04:41, 17.96it/s]]
5063it [01:40, 50.57it/s]]
5063it [01:33, 54.41it/s]]
5063it [02:42, 31.14it/s]]
5063it [00:58, 87.19it/s]]
5063it [00:32, 155.29it/s]
5063it [02:16, 37.22it/s]]
5063it [04:42, 17.90it/s]]
5063it [08:24, 10.04it/s]]
5063it [04:21, 19.35it/s]]
5063it [05:04, 16.62it/s]]
5063it [08:22, 10.07it/s]]
5063it [06:15, 13.48it/s]]
5063it [10:09,  8.31it/s]]
5063it [11:30,  7.33it/s]]
5063it [08:57,  9.41it/s]]
5063it [11:50,  7.13it/s]]
5063it [08:08, 10.36it/s]]
5063it [03:33, 23.68it/s]]
5063it [04:27, 18.89it/s]]
5063it [05:42, 14.78it/s]]
5063it [03:34, 23.64it/s]]
5063it [04:08, 20.36it/s]]
5063it [03:06, 27.18it/s]]
5063it [01:38, 51.33it/s]]
5063it [03:49, 22.08it/s]]
5063it [00:44, 113.87it/s]
5063it [05:03, 16.67it/s]]
5063it [17:36,  4.79it/s]]
5063it [16:04,  5.25it/s]]
5063it [06:19, 13.35it/s]]
5063it [07:43, 10.92it/s]]
5063it [08:21, 10.09it/s]]
5063it [15:00,  5.62it/s]]
5063it [12:32,  6.73it/s]]
5063it [13:50,  6.09it/s]]
5063it [07:49, 10.78it/s]]
5063it [04:31, 18.65it/s]]
55it [5:50:18, 382.15s/it]
