5063it [00:53, 94.28it/s]
5063it [00:47, 106.63it/s]
5063it [00:40, 126.05it/s]
5063it [00:42, 120.48it/s]
5063it [00:42, 120.40it/s]
5063it [00:38, 131.82it/s]
5063it [00:43, 116.93it/s]
5063it [00:50, 99.87it/s]
5063it [00:43, 115.57it/s]
5063it [00:36, 138.10it/s]
5063it [00:44, 113.37it/s]
5063it [00:49, 101.64it/s]
5063it [00:42, 119.81it/s]
5063it [00:45, 110.58it/s]
5063it [00:46, 108.17it/s]
5063it [00:47, 107.62it/s]
5063it [00:50, 99.64it/s]
5063it [00:45, 112.41it/s]
5063it [00:25, 195.08it/s]
5063it [00:40, 126.30it/s]
5063it [00:39, 128.73it/s]
5063it [00:33, 149.29it/s]
5063it [00:19, 262.55it/s]
5063it [00:41, 122.35it/s]
5063it [00:40, 123.95it/s]
5063it [00:43, 116.88it/s]
5063it [00:45, 111.84it/s]
5063it [00:43, 116.67it/s]
5063it [00:54, 92.60it/s]
5063it [00:41, 120.64it/s]
5063it [00:42, 120.38it/s]
5063it [00:44, 114.66it/s]
5063it [00:39, 128.77it/s]
5063it [00:55, 91.86it/s]]
5063it [00:46, 108.60it/s]
5063it [00:38, 131.50it/s]
5063it [00:39, 127.95it/s]
5063it [00:34, 147.49it/s]
5063it [00:30, 164.30it/s]
5063it [00:30, 168.65it/s]
5063it [00:33, 151.04it/s]
5063it [00:27, 182.63it/s]
5063it [00:37, 135.45it/s]
5063it [00:21, 239.50it/s]
5063it [00:35, 142.34it/s]
5063it [00:33, 153.16it/s]
5063it [00:36, 136.89it/s]
5063it [00:33, 149.52it/s]
5063it [00:40, 124.35it/s]
5063it [00:38, 130.45it/s]
5063it [00:42, 120.03it/s]
5063it [00:38, 131.18it/s]
5063it [00:36, 139.44it/s]
5063it [00:39, 129.66it/s]
5063it [00:34, 146.91it/s]
55it [36:54, 40.27s/it]/s]
MAP =  0.13160112444444444
