5063it [03:14, 25.99it/s]
5063it [04:46, 17.68it/s]
5063it [02:40, 31.53it/s]
5063it [01:11, 71.06it/s]
5063it [02:23, 35.26it/s]
5063it [01:00, 83.14it/s]
5063it [01:05, 77.15it/s]
5063it [01:31, 55.53it/s]
5063it [02:10, 38.90it/s]
5063it [00:20, 243.26it/s]
5063it [04:08, 20.37it/s]]
5063it [04:16, 19.76it/s]
5063it [02:04, 40.54it/s]
5063it [02:54, 29.00it/s]
5063it [02:40, 31.52it/s]
5063it [03:25, 24.68it/s]
5063it [03:37, 23.27it/s]
5063it [02:17, 36.74it/s]
5063it [00:44, 113.29it/s]
5063it [00:40, 125.00it/s]
5063it [01:15, 66.96it/s]]
5063it [00:25, 201.85it/s]
5063it [00:13, 378.33it/s]
5063it [01:01, 82.41it/s]]
5063it [02:19, 36.33it/s]
5063it [04:06, 20.56it/s]
5063it [02:20, 36.14it/s]
5063it [02:44, 30.73it/s]
5063it [05:45, 14.67it/s]]
5063it [03:15, 25.85it/s]]
5063it [06:31, 12.92it/s]]
5063it [06:58, 12.10it/s]]
5063it [04:24, 19.15it/s]]
5063it [05:35, 15.10it/s]]
5063it [03:53, 21.70it/s]]
5063it [01:37, 51.84it/s]]
5063it [02:04, 40.57it/s]]
5063it [02:41, 31.44it/s]]
5063it [01:40, 50.37it/s]]
5063it [02:03, 41.14it/s]]
5063it [01:30, 55.98it/s]]
5063it [00:47, 107.57it/s]
5063it [02:17, 36.71it/s]]
5063it [00:18, 276.61it/s]
5063it [02:20, 36.09it/s]
5063it [07:55, 10.66it/s]]
5063it [07:18, 11.54it/s]]
5063it [02:47, 30.22it/s]]
5063it [03:24, 24.75it/s]]
5063it [03:36, 23.42it/s]]
5063it [06:20, 13.31it/s]]
5063it [05:17, 15.94it/s]]
5063it [05:53, 14.34it/s]]
5063it [03:28, 24.24it/s]]
5063it [03:39, 23.04it/s]]
55it [2:45:21, 180.39s/it]
