5063it [04:17, 19.64it/s]
5063it [06:00, 14.06it/s]
5063it [03:40, 23.01it/s]
5063it [01:44, 48.45it/s]
5063it [03:04, 27.46it/s]
5063it [01:19, 63.95it/s]
5063it [01:27, 57.97it/s]
5063it [01:54, 44.38it/s]
5063it [02:37, 32.22it/s]
5063it [00:37, 135.82it/s]
5063it [05:41, 14.81it/s]]
5063it [06:36, 12.77it/s]
5063it [03:05, 27.24it/s]
5063it [04:37, 18.26it/s]
5063it [04:12, 20.05it/s]
5063it [05:10, 16.29it/s]
5063it [05:17, 15.96it/s]
5063it [03:38, 23.21it/s]]
5063it [01:18, 64.58it/s]]
5063it [01:09, 72.91it/s]]
5063it [01:51, 45.59it/s]]
5063it [00:47, 106.77it/s]
5063it [00:32, 154.24it/s]
5063it [01:35, 53.23it/s]
5063it [03:02, 27.78it/s]
5063it [05:29, 15.35it/s]]
5063it [02:51, 29.50it/s]]
5063it [03:23, 24.94it/s]]
5063it [05:23, 15.66it/s]]
5063it [03:52, 21.78it/s]]
5063it [05:39, 14.90it/s]]
5063it [06:36, 12.77it/s]]
5063it [05:18, 15.89it/s]]
5063it [07:07, 11.85it/s]]
5063it [05:34, 15.15it/s]]
5063it [02:31, 33.44it/s]]
5063it [03:06, 27.22it/s]]
5063it [03:49, 22.02it/s]]
5063it [02:35, 32.53it/s]]
5063it [02:57, 28.58it/s]]
5063it [02:16, 37.12it/s]]
5063it [01:16, 65.98it/s]]
5063it [02:41, 31.30it/s]]
5063it [00:41, 122.73it/s]
5063it [03:28, 24.25it/s]]
5063it [10:54,  7.74it/s]]
5063it [10:34,  7.98it/s]]
5063it [04:46, 17.65it/s]]
5063it [05:32, 15.22it/s]]
5063it [05:56, 14.21it/s]]
5063it [10:13,  8.26it/s]]
5063it [08:39,  9.74it/s]]
5063it [09:42,  8.69it/s]]
5063it [05:51, 14.39it/s]]
5063it [06:33, 12.88it/s]]
55it [3:50:59, 252.00s/it]
